short,long,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
40,100,0.005,0.01,-9.6,-100,22.85,142,46.8
40,100,0.005,0.02,-9.67,-100,21.48,130,46.85
40,100,0.01,0.02,-9.72,-100,21.27,128,46.86
40,100,0.02,0.02,-9.72,-100,21.27,128,46.86
10,100,0,0.01,-9.81,-100,79.14,1014,44.02
20,100,0,0.005,-10.01,-100,85.32,1248,42.43
20,100,0,0,-10.15,-100,99.98,5692,23.72
10,150,0.02,0,-10.25,-100,92.9,1732,39.99
30,100,0,0,-10.33,-100,99.98,5644,23.52
10,100,0.01,0.005,-10.45,-100,36.38,268,47.49
10,100,0.02,0.005,-10.45,-100,36.38,268,47.49
10,150,0.01,0,-10.46,-100,92.93,1734,39.98
20,150,0.02,0,-10.5,-100,89.98,1502,40.69
10,100,0.005,0.005,-10.51,-100,36.77,272,47.48
20,150,0.01,0,-10.54,-100,90.05,1506,40.67
10,150,0.005,0,-10.87,-100,93.25,1764,39.85
20,150,0.005,0,-10.94,-100,90.89,1564,40.42
10,100,0.01,0.01,-11.19,-100,34.28,244,47.59
10,100,0.02,0.01,-11.19,-100,34.28,244,47.59
20,100,0.01,0.005,-11.21,-100,31.7,218,46.98
20,100,0.02,0.005,-11.21,-100,31.7,218,46.98
10,100,0.005,0.02,-11.23,-100,33.71,238,47.62
10,100,0.01,0.02,-11.23,-100,33.71,238,47.62
10,100,0.02,0.02,-11.23,-100,33.71,238,47.62
20,100,0.005,0.005,-11.26,-100,32.12,222,46.96
10,100,0.005,0.01,-11.3,-100,34.51,246,47.58
30,100,0.02,0,-11.33,-100,90.69,1548,40.95
30,100,0.01,0,-11.37,-100,90.72,1550,40.93
30,100,0.005,0,-11.63,-100,91.53,1610,40.69
20,150,0,0,-11.65,-100,99.98,5592,23.3
20,100,0.01,0.01,-11.69,-100,29.79,198,47.06
20,100,0.02,0.01,-11.69,-100,29.79,198,47.06
20,100,0.005,0.02,-11.72,-100,29.17,192,47.08
20,100,0.01,0.02,-11.72,-100,29.17,192,47.08
20,100,0.02,0.02,-11.72,-100,29.17,192,47.08
20,100,0.005,0.01,-11.8,-100,30.04,200,47.05
20,100,0.02,0,-11.83,-100,92.89,1726,40.69
10,100,0.01,0,-11.94,-100,94.65,1916,40.63
10,100,0.02,0,-11.94,-100,94.65,1916,40.63
20,100,0.01,0,-12.03,-100,92.92,1728,40.68
40,100,0.02,0,-12.16,-100,88,1376,41.66
20,100,0.005,0,-12.22,-100,93.17,1752,40.58
40,100,0.005,0,-12.23,-100,89.26,1450,41.34
40,100,0.01,0,-12.31,-100,88.22,1388,41.61
10,100,0.005,0,-12.46,-100,94.8,1934,40.55
40,100,0,0,-14.46,-100,99.98,5658,23.57
